Cidade,QtdDiasVaiChover,QtdDiasNaoVaiChover,TotalDiasMapeados
Aparecida,2,6,8
Arapeí,5,3,8
Areias,4,4,8
Bananal,3,5,8
Cachoeira Paulista,2,6,8
Campos do Jordão,5,3,8
Canas,2,6,8
Caraguatatuba,6,2,8
Caçapava,2,6,8
Cruzeiro,3,5,8
Cunha,5,3,8
Guaratinguetá,2,6,8
Igaratá,3,5,8
Ilhabela,6,2,8
Jacareí,3,5,8
Jambeiro,3,5,8
Lagoinha,2,6,8
Lavrinhas,3,5,8
Lorena,4,4,8
Monteiro Lobato,3,5,8
Natividade da Serra,4,4,8
Paraibuna,3,5,8
Pindamonhangaba,3,5,8
Piquete,3,5,8
Potim,3,5,8
Queluz,3,5,8
Redenção da Serra,2,6,8
Roseira,3,5,8
Santa Branca,3,5,8
Santo Antônio do Pinhal,5,3,8
Sao Jose do Barreiro,5,3,8
Silveiras,5,3,8
São Bento do Sapucaí,5,3,8
São José dos Campos,2,6,8
São Luiz do Paraitinga,2,6,8
São Sebastião,6,2,8
Taubaté,2,6,8
Tremembé,3,5,8
Ubatuba,6,2,8
